Pattern,Reasoning_Clause,Decision
Other/Unspecified,e control and prevention reported that nearly half a million americans died from drug overdoses from 2000 to 2014,Denial
Public Health Benefit,made addressing this public health crisis a top priority,Denial
Other/Unspecified,"e the use of naloxone, a mu-opioid antagonist medication that can reverse the effects of overdose of both prescription opioid drugs and illicit opioid",Denial
Other/Unspecified,of the type or ~uantity of inactive ingredients included or the manner in which the inactive ingredients are included,Denial
Other/Unspecified,the drug product upon which an applicant relies in seeking approval of its anda,Denial
Other/Unspecified,"part of anda content and format, i",Denial
Other/Unspecified,the reference listed drug [(rld)],Denial
Safety Established,"sociated delivery device collectively provide for"" specified features that the petition asserts are ""necessary for the safe and effective administrati",Denial
Other/Unspecified,"sign a bx rating to follow-on inhaled nitric oxide/nods products, indicating that the products are not therapeutically equivalent to the combination p",Denial
Safety Established,it proposes use of a drug delivery device that lacks certain important safety features provided by the delivery device fo,Denial
Other/Unspecified,"e drug delivery systems, including patches, is the assurance of relatively constant drug delivery rates",Denial
Bioequivalence Demonstrated,"described above, fda's regulations define bioequivalence in relevant part as ''the absence of a significant difference in the rate and extent to whic",Denial
Other/Unspecified,no significant difference in the rate and extent to which the active ingredient or active,Denial
Other/Unspecified,made about potential reliance on research involving products other than cyclosporine ophthalmic emulsion in establishing or supporting an in vitro-on,Denial
Other/Unspecified,"onable opportunity for input on fda's contemplated new ""pre-anda program, with a special focus on complex generics",Denial
Other/Unspecified,that are 'right the first time,Denial
Other/Unspecified,"fda has stated previously,i i these procedures are parallel to, but separate from, the fda review process",Denial
Other/Unspecified,"""a new legal approach which would deny access to approved drugs based on issues unrelated to medical therapy (petition at 2)",Denial
Other/Unspecified,issues unrelated to medical therapy (petition at 2),Denial
Other/Unspecified,"ons stated below, your petition is denied without comment on whether we will take the actions you request",Denial
Other/Unspecified,"added by section 914 ofthe food and drug administration amendments act of2007 (fdaaa) (public law 110-85, 121 stat",Denial
Safety Established,"amended by the food and drug administration safety and innovation act (fdasia) (public law 112-144, 126 stat",Denial
Other/Unspecified,"signed into law on july 9, 2012",Denial
Premature/Pending Action,we had not yet made a final decision on whether or not to approve any such applications,Denial
Other/Unspecified,these earlier citizen petitions,Denial
Other/Unspecified,"ons stated below, your petition is denied without comment on whether we will take the actions you request",Denial
Other/Unspecified,"o nda tyvaso (treprostinil) inhalation solution, 0",Denial
Other/Unspecified,"o nda includes the tyvaso inhalation system patient starter kit, which contains the tyvaso inhalation system (i",Denial
Other/Unspecified,"onic, pulsed delivery device and its accessories) and a 28-day supply of treprostinil ampules",Denial
Other/Unspecified,"o nda also includes the tyvaso inhalation system refill kit, containing another 28-day supply oftreprostinil ampules and device components that requir",Denial
Other/Unspecified,your current petition makes the same substantive arguments as these earlier citizen petitions,Denial
Other/Unspecified,"ons stated in section ii of this response, we are denying your requests",Denial
Other/Unspecified,e risk for chronic disease,Denial
Other/Unspecified,"sociated with a number of positive health outcomes including an increase in glycemic control, reduction in risk for tooth decay, function as a prebiot",Denial
Other/Unspecified,"a replacement for citizen petition from karen weikel, phd, director of nutrition science, bonumose llc, dated february 22, 2018, submitted to the div",Denial
Other/Unspecified,been defined as the amount of heat energy needed to raise the temperatu,Denial
Other/Unspecified,"you are a requestor, as defined in section 505g(q)(3) of the fd&c act and your petition requests a type of relief that could be sought under an omor",Denial
Other/Unspecified,e note that information about the omor process is available on fda’s website2 should you pursue that process for your request,Denial
Other/Unspecified,"submitted on behalf of your clients, atnahs pharma us ltd",Denial
Other/Unspecified,unavailable in the market or was available in such limited quantities that a potential abbreviated new drug application (anda) applicant may not be a,Denial
Other/Unspecified,the new reference standard for,Denial
Other/Unspecified,carefully reviewed your petition and other information available to the agency,Denial
Other/Unspecified,"ons stated below, your petition is denied",Denial
Other/Unspecified,"al cell carcinomas when conventional methods are impractical, such as with multiple lesions or difficult treatment sites",Denial
Other/Unspecified,"e consisting of methylparaben, polysorbate 60, propylene glycol, propylparaben, purified water, stearyl alcohol, and white petrolatum",Denial
Bioequivalence Demonstrated,actual or potential bioequivalence problems have not been resolved with adequate evidence of bioequivalence,Denial
Bioequivalence Demonstrated,is of fda’s therapeutic equivalence evaluations,Denial
Other/Unspecified,"signed to indomethacin, is assigned to injectable aqueous and, in certain instances, intravenous non-aqueous solutions, as the orange book explains: i",Denial
Other/Unspecified,"therapeutically equivalent, there may be important differences among the products in the general category, injectable; injection",Denial
Other/Unspecified,therapeutically equivalent may have different preservatives or no preservatives at all,Denial
Other/Unspecified,the postapproval confirmatory trial required as a condition of accelerated approval for the new drug application (nda) for makena (nda 021945) failed,Denial
